NodeName,FLOPs,WeightMemory[MB],OutMemory[MB],"Edges[NumTensors, MB]..."
/model.23/Concat_5,0.0,0,0.1344,"(1, 0.1344)"
/model.23/Concat_5_output_0_QuantizeLinear,134400.0,4.9999999999999996e-06,0.0336,"(1, 0.0336)"
/model.23/Concat_5_output_0_DequantizeLinear,134400.0,4.9999999999999996e-06,0.1344,"(1, 0.1344)"
/model.23/Mul_2,67200.0,0,0.1344,"(1, 0.1344)"
/model.23/Mul_2_output_0_QuantizeLinear,134400.0,4.9999999999999996e-06,0.0336,"(1, 0.0336)"
/model.23/Mul_2_output_0_DequantizeLinear,134400.0,4.9999999999999996e-06,0.1344,"(1, 0.1344)"
/model.23/Add_2_output_0_QuantizeLinear,67200.0,4.9999999999999996e-06,0.0168,"(1, 0.0168)"
/model.23/Add_2_output_0_DequantizeLinear,67200.0,4.9999999999999996e-06,0.0672,"(1, 0.0672)"
/model.23/Div_1,134400.0,4e-06,0.0672,"(1, 0.0672)"
/model.23/Sub,33600.0,0.0672,0.0672,"(1, 0.0672)"
/model.23/Sub_output_0_QuantizeLinear,67200.0,4.9999999999999996e-06,0.0168,"(1, 0.0168)"
/model.23/Sub_output_0_DequantizeLinear,67200.0,4.9999999999999996e-06,0.0672,"(1, 0.0672)","(1, 0.0672)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.1/act/Sigmoid_output_0_QuantizeLinear,2048000.0,4.9999999999999996e-06,0.512,"(1, 0.512)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.1/act/Sigmoid_output_0_DequantizeLinear,2048000.0,4.9999999999999996e-06,2.048,"(1, 2.048)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.0/act/Sigmoid_output_0_QuantizeLinear,2048000.0,4.9999999999999996e-06,0.512,"(1, 0.512)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.0/act/Sigmoid_output_0_DequantizeLinear,2048000.0,4.9999999999999996e-06,2.048,"(1, 2.048)"
/model.23/cv3.0/cv3.0.0/cv3.0.0.1/act/Sigmoid_output_0_QuantizeLinear,2048000.0,4.9999999999999996e-06,0.512,"(1, 0.512)"
/model.23/cv3.0/cv3.0.0/cv3.0.0.1/act/Sigmoid_output_0_DequantizeLinear,2048000.0,4.9999999999999996e-06,2.048,"(1, 2.048)"
