,/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,Error
249,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.2986720383167267
250,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06401204764842987
251,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.04529184252023697
252,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1532022699713707
253,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.11160034462809562
254,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.2215058222413063
255,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.31053793132305146
256,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.28825939893722535
257,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3062479794025421
258,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.17574885860085487
259,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.19957170858979226
